srcIP,srcPort,dstIP,dstPort,protocol,mean,var,max,min,flowSize
41.177.202.202,53,41.177.98.57,50832,UDP,299.0,0.0,299,299,299
41.177.98.57,50833,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50833,UDP,275.0,0.0,275,275,275
41.177.98.57,50834,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50834,UDP,275.0,0.0,275,275,275
41.43.180.128,80,244.3.160.239,64832,TCP,73.0,4098.4,201,40,365
244.3.41.120,138,244.3.41.85,138,UDP,229.0,0.0,229,229,458
41.177.98.98,45351,41.177.202.202,53,UDP,71.0,0.0,71,71,71
41.177.202.202,53,41.177.98.98,45351,UDP,245.0,0.0,245,245,245
77.197.210.48,36851,41.177.26.176,80,TCP,80.625,10918.734375,357,40,645
41.177.26.176,80,77.197.210.48,36851,TCP,988.3,335622.81,1500,40,9883
117.194.224.181,1889,244.3.210.197,80,TCP,272.9,125333.88999999998,817,40,2729
244.3.210.197,80,117.194.224.181,1889,TCP,1230.0,293680.8,1500,48,12300
40.138.160.255,9546,244.3.160.239,80,TCP,147.4,79649.64000000001,994,52,1474
244.3.160.239,80,40.138.160.255,9546,TCP,900.7,399246.41000000003,1460,52,9007
77.197.210.122,3059,41.177.26.176,80,TCP,69.2,7219.360000000001,324,40,692
41.177.26.176,80,77.197.210.122,3059,TCP,954.6,366798.64,1500,40,9546
244.3.48.41,3693,244.3.160.239,80,TCP,315.8,299875.36,1411,40,1579
244.3.160.239,80,244.3.48.41,3693,TCP,61.8,1577.7599999999998,141,40,309
244.3.41.84,23,41.177.93.64,1156,TCP,702.4,373910.0399999999,1420,40,7024
244.3.160.239,64834,41.43.180.128,80,TCP,274.3333333333333,270832.5555555555,1438,40,1646
122.244.155.71,35022,41.177.98.127,210,TCP,73.6,970.4399999999999,133,52,736
151.77.39.25,14189,244.3.160.239,80,TCP,180.4,140903.83999999994,1300,40,1804
244.3.160.239,80,151.77.39.25,14189,TCP,730.9,335819.69,1300,40,7309
244.3.160.239,64835,244.3.31.108,80,TCP,184.11111111111111,163852.54320987655,1329,40,1657
244.3.31.108,80,244.3.160.239,64835,TCP,808.7777777777778,483814.6172839507,1500,40,7279
41.43.180.128,80,244.3.160.239,64834,TCP,72.8,4047.3599999999997,200,40,364
68.33.214.48,9399,244.3.160.239,80,TCP,206.0,107593.6,862,40,1030
244.3.160.239,80,68.33.214.48,9399,TCP,208.8,111298.56000000001,876,40,1044
41.177.211.185,8931,244.3.160.239,80,TCP,366.7142857142857,280781.3469387755,1420,40,2567
244.3.160.239,80,41.177.211.185,8931,TCP,81.14285714285714,6282.408163265306,271,40,568
41.177.98.127,210,122.244.155.71,35022,TCP,835.0,466234.4,1500,52,8350
244.3.160.239,64836,30.222.71.108,80,TCP,312.5,248692.0,1500,40,2500
41.177.98.176,80,151.77.164.120,50862,TCP,52.0,0.0,52,52,104
151.77.164.120,50862,41.177.98.176,80,TCP,52.0,0.0,52,52,104
