srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
244.3.90.4,59984,41.177.98.92,22,TCP,14081404,52,116,52,52,52,52,52,52,52,52
41.177.98.92,22,244.3.90.4,59984,TCP,645146368,1420,1420,1420,1292,1420,1420,1420,1420,1420,1420
40.193.220.98,8147,41.177.241.46,4500,UDP,3632456,384,176,176,144,384,176,176,144,384,176
244.3.153.67,1359,41.177.202.249,445,TCP,2576802,320,116,116,85,320,116,116,85,320,116
41.177.202.249,445,244.3.153.67,1359,TCP,2158297,147,112,160,79,147,112,160,79,147,112
41.177.241.46,4500,40.193.220.98,8147,UDP,3261624,208,176,224,144,208,176,224,144,208,176
244.3.93.198,4112,41.177.241.108,3389,TCP,2040,40,40,40,40,40,40,40,40,40,40
186.168.57.204,25,244.3.210.255,3465,TCP,794,59,62,94,40,40,40,40,40,40,40
244.3.210.255,3465,186.168.57.204,25,TCP,12858,79,46,1500,1500,1500,1500,1500,1500,1500,1500
48.90.81.188,25,244.3.210.255,3429,TCP,509,54,40,40,40,40,40,68,40,67,40
244.3.210.255,3429,48.90.81.188,25,TCP,12731,1420,1420,1420,1420,1420,1420,1420,1420,1245,46
41.177.241.164,1985,210.218.218.164,1985,UDP,2000,48,48,48,48,44,44,48,48,48,48
194.92.16.244,25,244.3.210.255,3387,TCP,304,96,40,88,40,40,0,0,0,0,0
41.177.26.176,80,77.197.210.249,6512,TCP,10574,768,786,800,251,1424,1500,1072,1500,1500,973
244.3.202.202,53,244.3.210.230,53695,UDP,598,423,175,0,0,0,0,0,0,0,0
244.3.210.255,3475,122.77.41.164,25,TCP,13078,48,40,64,74,77,46,1420,1420,1420,1420
41.177.26.176,59106,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59106,UDP,214,214,0,0,0,0,0,0,0,0,0
122.248.218.117,80,244.3.160.239,33064,TCP,4046,40,1500,1500,926,40,40,0,0,0,0
244.3.210.255,3387,194.92.16.244,25,TCP,126,46,40,40,0,0,0,0,0,0,0
77.197.210.239,61228,41.177.26.176,80,TCP,544,40,344,40,40,40,40,0,0,0,0
244.197.176.108,25,244.3.210.255,3437,TCP,423,40,40,40,40,76,40,67,40,40,0
77.197.254.85,60028,244.3.210.197,80,TCP,460,48,40,212,40,40,40,40,0,0,0
244.3.210.197,80,77.197.254.85,60028,TCP,6801,48,1500,1500,1500,1500,753,0,0,0,0
122.248.218.117,80,244.3.160.239,33065,TCP,699,40,579,40,40,0,0,0,0,0,0
186.84.41.197,25,244.3.210.255,3419,TCP,561,40,40,40,40,40,40,40,40,72,40
244.3.210.255,3419,186.84.41.197,25,TCP,6717,1500,1500,1500,1500,591,46,40,40,0,0
41.177.26.176,59107,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59107,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.26.176,59108,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59108,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.26.176,59109,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
244.3.210.255,3437,244.197.176.108,25,TCP,126,46,40,40,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59109,UDP,214,214,0,0,0,0,0,0,0,0,0
244.3.160.239,33065,122.248.218.117,80,TCP,120,40,40,40,0,0,0,0,0,0,0
41.177.3.224,51312,41.177.117.184,1605,TCP,5392,40,349,459,436,113,318,69,40,349,459
41.177.3.224,51307,41.177.117.184,1605,TCP,5392,40,349,459,436,113,318,69,40,349,459
41.177.3.224,51306,41.177.117.184,1605,TCP,5392,40,349,459,436,113,318,69,40,349,459
244.3.160.239,80,41.177.124.47,11015,TCP,615,535,40,40,0,0,0,0,0,0,0
253.160.239.39,1521,253.37.253.167,63511,TCP,167402,251,245,257,252,251,251,40,252,252,40
41.177.124.47,11015,244.3.160.239,80,TCP,80,40,40,0,0,0,0,0,0,0,0
48.151.229.213,25,244.3.210.255,3359,TCP,25395,40,72,40,73,40,40,40,83,77,72
41.177.26.176,59110,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59110,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.26.176,59111,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59111,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.26.176,59112,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
253.37.253.167,63511,253.160.239.39,1521,TCP,48956,83,83,83,83,83,83,83,83,83,83
41.177.202.202,53,41.177.26.176,59112,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.26.176,59113,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59113,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.26.176,80,77.197.210.239,61228,TCP,11766,40,1500,1010,1500,1500,744,1500,573,1500,1177
41.106.176.15,42496,41.177.241.46,443,TCP,133702,113,133,40,121,133,113,250,353,169,469
41.177.241.46,443,41.106.176.15,42496,TCP,163974,40,40,113,113,40,133,40,40,40,121
244.3.153.204,3566,244.3.176.224,445,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.176.224,445,244.3.153.204,3566,TCP,80,40,40,0,0,0,0,0,0,0,0
244.3.185.121,1131,41.177.98.220,7010,TCP,909,158,115,484,112,40,0,0,0,0,0
197.33.77.163,25,244.3.210.255,3367,TCP,26323,40,48,40,48,96,40,40,40,40,40
41.177.26.176,59114,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
244.3.210.255,3367,197.33.77.163,25,TCP,616773,69,46,1500,1500,1500,1500,1500,1500,1500,1500
41.177.202.202,53,41.177.26.176,59114,UDP,299,299,0,0,0,0,0,0,0,0,0
77.155.33.128,25,244.3.210.255,3459,TCP,7248,351,226,79,74,40,40,40,40,40,142
244.3.210.255,3459,77.155.33.128,25,TCP,154398,64,85,79,57,1500,1500,1500,1500,1500,1500
41.177.26.176,59115,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59115,UDP,275,275,0,0,0,0,0,0,0,0,0
122.77.41.164,25,244.3.210.255,3475,TCP,1285,48,172,40,125,55,40,102,40,86,40
41.177.26.176,59116,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59116,UDP,275,275,0,0,0,0,0,0,0,0,0
77.197.210.202,27622,41.177.26.176,80,TCP,280,40,40,40,40,40,40,40,0,0,0
41.177.26.176,80,77.197.210.202,27622,TCP,6766,1500,1069,1500,1500,1197,0,0,0,0,0
90.111.142.151,25,244.3.210.255,3413,TCP,888,82,40,79,90,40,40,40,40,40,40
77.197.210.160,38979,41.177.26.176,80,TCP,593,48,40,345,40,40,40,40,0,0,0
244.3.210.255,3413,90.111.142.151,25,TCP,12837,72,46,1500,1500,1500,1500,1500,1500,1500,1500
41.177.26.176,80,77.197.210.160,38979,TCP,11694,48,40,1181,1500,1333,1500,760,1500,618,1500
77.197.210.56,51045,41.177.26.176,80,TCP,556,40,356,40,40,40,40,0,0,0,0
41.177.26.176,80,77.197.210.56,51045,TCP,11597,40,1500,1010,1500,1500,744,1500,637,1500,944
41.177.26.176,59117,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59117,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.26.176,59118,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59118,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.98.220,7010,244.3.185.121,1131,TCP,3141,116,805,40,493,1420,267,0,0,0,0
41.177.26.176,59119,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.106.176.15,40923,41.177.241.46,443,TCP,92972,172,40,221,214,214,151,172,130,130,40
41.177.202.202,53,41.177.26.176,59119,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.241.46,443,41.106.176.15,40923,TCP,284958,40,40,113,193,40,246,40,40,113,40
244.3.153.55,2637,244.3.176.118,3389,TCP,43579,99,148,141,141,78,99,57,57,40,40
244.3.176.118,3389,244.3.153.55,2637,TCP,210885,40,120,173,40,40,144,40,428,56,1135
197.0.225.255,25,244.3.210.255,3473,TCP,941,48,125,139,64,62,82,40,40,40,40
244.3.210.255,3473,197.0.225.255,25,TCP,13018,40,64,74,73,46,1500,1500,1500,1500,1500
244.3.77.18,2493,244.3.41.84,23,TCP,770,50,40,50,40,50,40,50,40,50,40
254.77.161.108,25,244.3.210.255,3410,TCP,56031,107,40,110,90,40,40,40,40,40,40
244.3.210.255,3410,254.77.161.108,25,TCP,857720,72,46,1500,1500,1500,1500,1500,1500,1500,1500
77.197.177.241,25,244.3.210.255,3400,TCP,757,79,40,64,40,40,40,40,40,40,142
244.3.210.255,3400,77.197.177.241,25,TCP,12836,69,57,1500,1500,1500,1500,1500,1500,1500,1500
244.3.160.239,33064,122.248.218.117,80,TCP,160,40,40,40,40,0,0,0,0,0,0
244.3.160.239,80,41.177.124.47,3306,TCP,4274,1500,629,1500,565,40,40,0,0,0,0
254.145.197.25,25,244.3.210.255,3467,TCP,636,73,62,82,40,40,40,40,69,40,40
244.3.210.255,3467,254.145.197.25,25,TCP,12880,69,46,1500,1500,1500,1500,1500,1500,1500,1500
41.177.124.47,3306,244.3.160.239,80,TCP,120,40,40,40,0,0,0,0,0,0,0
244.3.210.230,64287,244.3.202.202,53,UDP,54,54,0,0,0,0,0,0,0,0,0
128.164.108.251,25,244.3.210.255,3406,TCP,14889,40,96,90,40,40,40,40,40,96,40
41.177.124.47,15089,244.3.160.239,80,TCP,2201,48,40,1073,40,40,40,40,40,40,40
244.3.160.239,80,41.177.124.47,15089,TCP,58360,48,40,1500,213,1500,1500,629,1500,629,1214
77.197.210.123,60142,41.177.26.176,80,TCP,160,40,40,40,40,0,0,0,0,0,0
41.177.26.176,80,77.197.210.123,60142,TCP,1303,1303,0,0,0,0,0,0,0,0,0
244.3.210.255,3406,128.164.108.251,25,TCP,301091,46,1500,1500,1500,1500,1500,1500,1500,1500,605
244.3.160.239,33067,122.248.218.117,80,TCP,2153,48,40,1145,40,40,40,40,40,40,40
244.3.41.84,23,244.3.77.18,2493,TCP,7041,517,423,53,517,423,1300,587,1064,1170,987
244.3.4.164,1985,210.218.218.164,1985,UDP,3144,44,44,44,48,48,48,48,48,48,48
209.186.77.118,25,244.3.210.255,3424,TCP,1252,77,80,40,40,40,40,40,55,55,75
244.3.210.255,3424,209.186.77.118,25,TCP,29207,46,1500,1500,1500,1500,1500,1500,1500,1500,595
253.37.253.43,2001,253.213.108.31,515,TCP,1587,60,40,46,63,120,41,63,94,980,40
253.213.108.31,515,253.37.253.43,2001,TCP,1218,44,44,40,40,41,41,40,40,41,41
197.154.128.43,80,244.3.160.239,33066,TCP,363016,1500,1500,396,1500,1500,1500,1500,1500,932,1500
244.3.160.239,33066,197.154.128.43,80,TCP,2320,40,40,40,40,40,40,40,40,40,40
244.3.160.254,123,244.157.13.98,123,UDP,76,76,0,0,0,0,0,0,0,0,0
244.3.160.239,80,41.177.124.47,8680,TCP,214171,367,1500,1500,1500,1500,1500,1500,1500,932,1500
244.157.13.98,123,244.3.160.254,123,UDP,76,76,0,0,0,0,0,0,0,0,0
244.3.153.204,3571,244.3.176.224,445,TCP,981,48,40,177,280,396,40,0,0,0,0
244.3.153.116,514,41.177.230.117,514,UDP,83043,222,210,222,210,222,223,221,210,222,223
244.3.176.224,445,244.3.153.204,3571,TCP,978,48,237,534,79,40,40,0,0,0,0
77.197.210.249,6512,41.177.26.176,80,TCP,240,40,40,40,40,40,40,0,0,0,0
82.181.188.253,1541,41.177.98.143,8001,TCP,2002,61,40,66,51,55,125,47,40,114,114
254.117.56.72,25,244.3.210.255,3434,TCP,1306,94,40,121,40,78,40,74,40,54,40
244.3.210.255,3434,254.117.56.72,25,TCP,12965,64,85,65,46,1420,1420,1420,1420,1420,1420
41.177.75.223,1351,41.177.98.220,7080,TCP,147,107,40,0,0,0,0,0,0,0,0
41.177.26.176,80,77.197.210.181,11693,TCP,11665,1181,1500,711,825,1500,754,1500,461,1500,1011
41.177.98.220,7080,41.177.75.223,1351,TCP,111,111,0,0,0,0,0,0,0,0,0
41.177.124.47,8680,244.3.160.239,80,TCP,2720,40,40,40,40,40,40,40,40,40,40
128.132.163.23,25,244.3.210.255,3443,TCP,269,40,71,78,40,40,0,0,0,0,0
41.177.98.143,8001,82.181.188.253,1541,TCP,20428,1192,114,640,589,51,40,1500,411,40,1351
41.177.26.176,59120,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59120,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.26.176,59121,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59121,UDP,275,275,0,0,0,0,0,0,0,0,0
253.213.108.4,2841,253.37.253.43,23,TCP,4338,40,40,73,73,40,40,50,50,50,50
41.177.26.176,59122,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59122,UDP,275,275,0,0,0,0,0,0,0,0,0
244.3.202.202,53,244.3.210.230,64287,UDP,353,353,0,0,0,0,0,0,0,0,0
244.3.210.255,3483,94.209.244.210,25,TCP,13054,48,40,64,74,69,46,1500,1500,1500,1500
244.3.210.254,5900,41.177.244.177,56182,TCP,52865,354,512,178,178,178,152,330,1420,1420,688
41.177.244.177,56182,244.3.210.254,5900,TCP,7332,52,52,52,52,52,52,52,52,52,52
253.244.230.201,1985,210.218.218.164,1985,UDP,1092,48,44,48,48,48,48,48,48,48,48
41.177.204.209,1985,210.218.218.164,1985,UDP,2096,48,48,48,48,48,48,44,44,48,48
209.47.155.57,25,244.3.210.255,3373,TCP,3232,78,40,54,40,40,40,40,40,40,40
244.3.210.255,3373,209.47.155.57,25,TCP,64118,46,1500,1500,1500,1500,1500,1500,1500,1500,587
122.248.218.117,80,244.3.160.239,33067,TCP,57843,44,40,304,1500,1500,1500,1500,1500,932,1500
244.3.210.254,5900,41.177.244.185,51175,TCP,45227,907,170,170,170,142,264,1420,1420,358,860
41.177.199.139,3796,244.3.160.239,80,TCP,5170,48,40,1162,40,40,40,40,40,40,40
41.177.244.185,51175,244.3.210.254,5900,TCP,5928,52,52,52,52,52,52,52,52,52,52
244.3.160.239,80,41.177.199.139,3796,TCP,193710,48,40,1500,629,313,1500,629,1500,629,1486
41.177.116.186,1985,210.218.218.164,1985,UDP,960,48,48,48,48,48,48,48,48,48,48
244.3.160.239,33068,40.248.176.156,80,TCP,4251,48,40,1363,40,40,40,40,40,40,40
244.3.79.176,1531,41.177.98.220,7010,TCP,4085,142,40,40,112,40,112,40,112,40,112
145.95.41.23,138,145.95.41.161,138,UDP,476,241,235,0,0,0,0,0,0,0,0
244.3.210.192,1985,210.218.218.164,1985,UDP,1920,48,48,48,48,48,48,48,48,48,48
151.77.15.128,1150,41.177.241.46,443,UDP,6187,185,201,185,185,121,121,169,169,169,169
244.3.153.48,137,41.177.230.130,137,UDP,96,96,0,0,0,0,0,0,0,0,0
151.77.15.118,1687,41.177.241.46,443,UDP,1754,169,281,169,169,169,201,297,121,89,89
244.3.153.33,137,244.3.153.91,137,UDP,936,78,78,78,78,78,78,78,78,78,78
41.177.98.43,123,41.177.230.31,123,UDP,76,76,0,0,0,0,0,0,0,0,0
41.177.230.31,123,41.177.98.43,123,UDP,76,76,0,0,0,0,0,0,0,0,0
39.61.39.192,25,244.3.210.255,3393,TCP,256,102,74,40,40,0,0,0,0,0,0
244.3.210.255,3393,39.61.39.192,25,TCP,126,46,40,40,0,0,0,0,0,0,0
41.177.244.177,54781,244.3.210.254,19813,TCP,10660,94,52,94,52,84,52,114,52,114,52
77.197.210.181,11693,41.177.26.176,80,TCP,200,40,40,40,40,40,0,0,0,0,0
244.3.210.255,3443,128.132.163.23,25,TCP,126,46,40,40,0,0,0,0,0,0,0
241.82.197.177,3313,244.3.160.239,80,TCP,52,52,0,0,0,0,0,0,0,0,0
244.3.160.239,80,241.82.197.177,3313,TCP,52,52,0,0,0,0,0,0,0,0,0
244.3.210.254,19813,41.177.244.177,54781,TCP,16789,86,86,1066,70,70,1066,70,70,1066,70
244.3.90.142,2460,41.177.98.220,7010,TCP,502,143,40,113,40,126,40,0,0,0,0
244.3.176.68,1985,210.218.218.164,1985,UDP,1048,48,48,48,48,48,48,44,48,48,48
68.157.168.13,64450,41.177.26.176,80,TCP,2438,60,52,453,52,52,52,52,52,52,52
94.209.244.210,25,244.3.210.255,3483,TCP,1186,48,120,251,87,40,87,90,40,40,40
41.177.26.176,80,68.157.168.13,64450,TCP,23935,64,52,1500,461,717,291,291,291,294,664
41.177.202.57,1985,210.218.218.164,1985,UDP,960,48,48,48,48,48,48,48,48,48,48
41.177.3.224,50412,41.177.117.184,1613,TCP,4279,349,40,349,40,349,40,349,40,349,40
40.248.176.156,80,244.3.160.239,33068,TCP,191911,48,40,1420,1420,1420,1420,1420,1420,1420,1420
41.177.117.184,1613,41.177.3.224,50412,TCP,4719,429,429,429,429,429,429,429,429,429,429
41.177.98.220,7010,244.3.79.176,1531,TCP,21652,40,1420,1420,1030,1116,1116,1117,1117,197,40
41.177.26.176,80,77.197.210.80,43779,TCP,11537,1181,1500,1500,1500,594,1500,1500,1500,762,0
244.3.153.204,137,41.177.230.130,137,UDP,480,96,96,96,96,96,0,0,0,0,0
41.177.26.176,80,77.197.210.48,40407,TCP,11631,804,1500,1500,250,1500,760,1500,584,1500,1500
244.3.210.230,53081,244.3.202.202,53,UDP,59,59,0,0,0,0,0,0,0,0,0
41.177.26.176,59123,41.177.202.202,53,UDP,71,71,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59123,UDP,260,260,0,0,0,0,0,0,0,0,0
41.177.26.176,59124,41.177.202.202,53,UDP,78,78,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59124,UDP,237,237,0,0,0,0,0,0,0,0,0
41.177.26.176,59125,41.177.202.202,53,UDP,78,78,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59125,UDP,237,237,0,0,0,0,0,0,0,0,0
41.177.98.220,7010,244.3.90.142,2460,TCP,3944,40,675,40,1420,1314,40,415,0,0,0
41.177.26.176,80,77.197.127.51,37335,TCP,11788,1500,1008,1500,1500,914,1500,1500,1500,866,0
41.177.46.164,1985,210.218.218.164,1985,UDP,2096,44,44,48,48,48,48,48,48,48,48
40.193.220.98,7592,41.177.241.46,4500,UDP,1710,116,29,116,176,152,152,104,104,116,29
41.177.241.46,4500,40.193.220.98,7592,UDP,1540,116,116,104,152,152,116,480,152,152,0
244.3.210.230,50929,244.3.202.202,53,UDP,58,58,0,0,0,0,0,0,0,0,0
253.244.77.186,1985,210.218.218.164,1985,UDP,1920,48,48,48,48,48,48,48,48,48,48
41.177.230.192,1985,210.218.218.164,1985,UDP,3840,48,48,48,48,48,48,48,48,48,48
186.181.192.43,1249,244.3.41.84,23,TCP,1148,50,48,58,48,83,40,48,50,40,48
244.3.210.255,3376,77.197.13.16,25,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.202.202,53,244.3.210.230,53081,UDP,264,264,0,0,0,0,0,0,0,0,0
244.3.210.255,3496,241.194.77.102,25,TCP,13080,48,40,64,85,74,46,1420,1420,1420,1420
244.3.41.84,23,186.181.192.43,1249,TCP,9909,233,40,740,40,1420,133,40,1420,133,40
41.177.98.176,80,18.181.165.45,2448,TCP,23011,1492,1492,1492,1018,1492,1492,1492,812,1492,1492
41.177.241.254,3389,244.3.93.198,1904,TCP,1153382,59,59,59,59,59,59,40,76,60,57
244.3.210.230,63779,244.3.202.202,53,UDP,58,58,0,0,0,0,0,0,0,0,0
244.3.202.202,53,244.3.210.230,63779,UDP,216,216,0,0,0,0,0,0,0,0,0
244.3.210.255,3499,15.38.64.132,25,TCP,480,48,40,64,85,71,46,46,40,40,0
241.194.77.102,25,244.3.210.255,3496,TCP,1072,48,94,40,173,40,54,40,54,77,40
244.3.41.84,23,41.177.181.18,2374,TCP,5669,1338,40,236,40,1029,40,48,103,40,49
41.177.181.18,2374,244.3.41.84,23,TCP,1625,48,103,48,48,65,40,48,40,168,40
77.197.210.80,43779,41.177.26.176,80,TCP,200,40,40,40,40,40,0,0,0,0,0
244.3.202.202,53,244.3.210.230,50929,UDP,469,469,0,0,0,0,0,0,0,0,0
77.197.210.48,40407,41.177.26.176,80,TCP,240,40,40,40,40,40,40,0,0,0,0
244.3.210.255,3501,48.151.229.224,25,TCP,481,48,40,64,85,72,46,46,40,40,0
77.197.127.51,37335,41.177.26.176,80,TCP,200,40,40,40,40,40,0,0,0,0,0
41.177.204.41,1985,210.218.218.164,1985,UDP,1920,48,48,48,48,48,48,48,48,48,48
77.197.210.123,60720,41.177.26.176,80,TCP,722,48,40,394,40,40,40,40,40,40,0
41.177.26.176,80,77.197.210.123,60720,TCP,11558,48,40,1500,1008,1500,166,87,1500,467,1500
41.177.92.225,1198,41.177.98.220,7030,TCP,383,113,230,40,0,0,0,0,0,0,0
77.197.210.202,27986,41.177.26.176,80,TCP,685,48,40,357,40,40,40,40,40,40,0
41.177.26.176,80,77.197.210.202,27986,TCP,11792,48,40,1500,1010,1500,1500,752,1500,982,1500
41.177.98.220,7030,41.177.92.225,1198,TCP,431,148,40,243,0,0,0,0,0,0,0
145.95.43.192,1985,210.218.218.164,1985,UDP,960,48,48,48,48,48,48,48,48,48,48
244.3.160.186,1985,210.218.218.164,1985,UDP,2736,48,48,48,48,48,48,48,48,48,48
41.177.98.220,7010,244.3.79.176,1689,TCP,20287,1069,111,111,111,40,40,1420,92,111,111
77.197.13.16,25,244.3.210.255,3376,TCP,40,40,0,0,0,0,0,0,0,0,0
48.151.229.224,25,244.3.210.255,3501,TCP,1008,48,84,40,165,73,351,78,89,40,40
18.181.165.45,2448,41.177.98.176,80,TCP,1175,40,40,40,40,40,40,40,40,40,735
176.41.89.121,80,244.3.160.239,33007,TCP,605735,1420,1420,1420,1420,1420,1420,799,1420,1420,1420
244.3.160.239,33007,176.41.89.121,80,TCP,10400,40,40,40,40,40,40,40,40,40,40
244.3.160.239,80,41.177.40.117,4698,TCP,605735,1500,1340,1500,1340,1500,1500,639,1500,1340,1500
41.177.40.117,4698,244.3.160.239,80,TCP,8040,40,40,40,40,40,40,40,40,40,40
244.3.47.186,1985,210.218.218.164,1985,UDP,1920,48,48,48,48,48,48,48,48,48,48
77.197.210.249,7237,41.177.26.176,80,TCP,721,48,40,353,40,40,40,40,40,40,40
41.177.26.176,80,77.197.210.249,7237,TCP,11038,48,40,1500,78,675,345,259,262,924,1500
244.3.41.41,1985,210.218.218.164,1985,UDP,2096,48,48,48,48,48,48,48,48,48,48
244.3.79.176,1686,41.177.98.167,1521,TCP,18454,178,67,58,110,40,160,67,58,110,180
151.77.15.155,3876,41.177.241.46,443,TCP,372,73,40,73,73,40,73,0,0,0,0
41.177.241.46,443,151.77.15.155,3876,TCP,306,40,73,40,40,73,40,0,0,0,0
151.77.15.155,3891,41.177.241.46,443,UDP,62963,185,185,185,121,185,121,121,137,121,121
244.3.153.209,137,41.177.230.130,137,UDP,1578,96,96,96,96,96,96,96,96,96,96
41.177.98.167,1521,244.3.79.176,1686,TCP,41417,83,135,81,1420,671,202,83,129,81,129
15.38.64.132,25,244.3.210.255,3499,TCP,682,48,71,143,40,81,89,48,82,40,40
244.3.153.204,3576,244.3.176.224,445,TCP,981,48,40,177,280,396,40,0,0,0,0
244.3.176.224,445,244.3.153.204,3576,TCP,978,48,237,534,79,40,40,0,0,0,0
40.193.220.98,7376,244.3.160.239,80,TCP,1124,48,40,956,40,40,0,0,0,0,0
244.3.160.239,80,40.193.220.98,7376,TCP,889,48,40,721,40,40,0,0,0,0,0
41.177.26.176,59126,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59126,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.26.176,59127,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59127,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.26.176,59128,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59128,UDP,275,275,0,0,0,0,0,0,0,0,0
68.157.168.111,35906,41.177.26.176,80,TCP,104,52,52,0,0,0,0,0,0,0,0
41.177.26.176,80,68.157.168.111,35906,TCP,104,52,52,0,0,0,0,0,0,0,0
41.177.26.176,59129,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59129,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.26.176,59130,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59130,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.26.176,59131,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59131,UDP,275,275,0,0,0,0,0,0,0,0,0
244.3.40.164,1985,210.218.218.164,1985,UDP,2096,48,48,44,44,48,48,48,48,48,48
244.3.93.198,1904,41.177.241.254,3389,TCP,46721,40,40,40,40,40,40,62,96,40,83
40.193.220.98,14253,244.3.160.239,80,TCP,1141,48,40,973,40,40,0,0,0,0,0
244.3.160.239,80,40.193.220.98,14253,TCP,1006,48,40,838,40,40,0,0,0,0,0
41.177.26.176,59132,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59132,UDP,214,214,0,0,0,0,0,0,0,0,0
145.77.84.127,25,244.3.210.255,3378,TCP,576,48,40,71,40,40,40,40,40,48,40
244.3.210.255,3378,145.77.84.127,25,TCP,12765,46,1500,1500,1500,1500,1500,1500,1500,1500,593
41.177.26.176,59133,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59133,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.26.176,59134,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59134,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.26.176,59135,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59135,UDP,275,275,0,0,0,0,0,0,0,0,0
77.197.210.48,40695,41.177.26.176,80,TCP,635,48,40,347,40,40,40,40,40,0,0
41.177.26.176,80,77.197.210.48,40695,TCP,11900,48,40,1181,1500,1343,1500,744,1500,1500,1500
41.177.117.186,1985,210.218.218.164,1985,UDP,1824,48,48,48,48,48,48,48,48,48,48
41.177.3.203,37492,41.177.202.202,53,UDP,66,66,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.3.203,37492,UDP,206,206,0,0,0,0,0,0,0,0,0
41.177.26.176,59136,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59136,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.26.176,59137,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
