srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
41.177.26.55,80,244.3.160.248,54403,TCP,11782,48,40,1500,1500,1500,1500,1500,1500,1500,1154
41.177.26.214,58569,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,58569,UDP,240,240,0,0,0,0,0,0,0,0,0
41.177.26.214,58570,41.177.202.202,53,UDP,71,71,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,58570,UDP,129,129,0,0,0,0,0,0,0,0,0
41.177.26.214,58571,41.177.202.202,53,UDP,88,88,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,58571,UDP,146,146,0,0,0,0,0,0,0,0,0
41.177.26.214,58572,41.177.202.202,53,UDP,85,85,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,58572,UDP,138,138,0,0,0,0,0,0,0,0,0
41.177.26.214,58573,41.177.202.202,53,UDP,71,71,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,58573,UDP,216,216,0,0,0,0,0,0,0,0,0
41.177.230.224,25,41.177.46.150,45038,TCP,52,52,0,0,0,0,0,0,0,0,0
77.197.128.203,13292,41.177.26.176,80,TCP,683,48,40,355,40,40,40,40,40,40,0
41.177.26.176,80,77.197.128.203,13292,TCP,12035,48,40,824,1500,1500,1500,926,1500,1500,1500
41.177.98.57,61098,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61098,UDP,214,214,0,0,0,0,0,0,0,0,0
244.3.210.255,1933,68.26.77.3,25,TCP,144,48,48,48,0,0,0,0,0,0,0
244.3.160.248,54409,41.177.26.55,80,TCP,759,48,40,391,40,40,40,40,40,40,40
41.177.26.55,80,244.3.160.248,54409,TCP,11315,48,40,257,1500,1500,1500,1500,1500,1500,1500
41.177.98.57,61099,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61099,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.98.57,61100,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61100,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61101,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61101,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.26.214,58574,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,58574,UDP,240,240,0,0,0,0,0,0,0,0,0
41.177.26.214,58575,41.177.202.202,53,UDP,71,71,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,58575,UDP,129,129,0,0,0,0,0,0,0,0,0
41.177.26.214,58576,41.177.202.202,53,UDP,88,88,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,58576,UDP,146,146,0,0,0,0,0,0,0,0,0
41.177.26.214,58577,41.177.202.202,53,UDP,85,85,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,58577,UDP,138,138,0,0,0,0,0,0,0,0,0
41.177.26.214,58578,41.177.202.202,53,UDP,71,71,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,58578,UDP,216,216,0,0,0,0,0,0,0,0,0
41.177.98.57,61102,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61102,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61103,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61103,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.98.57,61104,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61104,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61105,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61105,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.98.57,61106,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61106,UDP,214,214,0,0,0,0,0,0,0,0,0
